,corn,wheat
1420,2,2
1421,3,4
1422,3,3
1423,0,1
1424,2,2
1425,1,2
1426,0,1
1427,1,1
1428,1,2
1429,0,1
1430,3,3
1431,1,1
1432,2,3
1433,2,2
1434,3,3
1435,2,2
1436,1,2
1437,1,2
1438,3,3
1439,1,2
1440,0,1
1441,2,2
1442,4,4
1443,0,1
1444,0,1
1445,2,2
1446,0,1
1447,2,2
1448,1,1
1449,0,0
1450,1,1
1451,1,1
1452,2,2
1453,2,2
1454,2,2
1455,2,3
1456,1,2
1457,1,2
1458,1,2
1459,1,2
1460,2,2
1461,3,3
1462,1,2
1463,2,3
1464,0,1
1465,0,1
1466,2,2
1467,3,3
1468,3,3
1469,2,2
1470,4,4
1471,3,3
1472,0,1
1473,0,1
1474,2,2
1475,1,2
1476,1,1
1477,3,3
1478,1,2
1479,2,3
1480,2,2
1481,1,2
1482,1,2
1483,3,3
1484,2,2
1485,2,2
1486,2,2
1487,2,3
1488,1,1
1489,1,1
1490,1,1
1491,1,1
1492,2,2
1493,1,2
1494,2,3
1495,1,1
1496,2,2
1497,2,3
1498,2,3
1499,2,2
1500,2,3
1501,3,3
1502,1,2
1503,1,2
1504,0,1
1505,1,2
1506,1,2
1507,1,2
1508,1,2
1509,2,2
1510,0,1
1511,1,2
1512,1,2
1513,2,2
1514,1,2
1515,2,3
1516,1,2
1517,0,1
1518,0,1
1519,3,3
1520,1,1
1521,3,3
1522,1,1
1523,2,3
1524,3,3
1525,2,3
1526,2,2
1527,1,2
1528,1,2
1529,3,3
1530,2,2
1531,2,2
1532,3,3
1533,2,3
1534,2,3
1535,2,2
1536,0,1
1537,2,2
1538,3,3
1539,1,2
1540,2,2
1541,1,1
1542,2,2
1543,3,3
1544,2,2
1545,3,3
1546,2,2
1547,1,1
1548,2,2
1549,1,2
1550,0,1
1551,2,3
1552,0,1
1553,2,2
1554,2,2
1555,1,1
1556,1,1
1557,1,2
1558,1,2
1559,0,1
1560,1,2
1561,2,3
1562,1,1
1563,3,3
1564,2,2
1565,1,2
1566,2,2
1567,0,1
1568,1,2
1569,1,2
1570,1,1
1571,2,2
1572,0,0
1573,1,2
1574,1,2
1575,1,1
1576,2,2
1577,3,3
1578,2,3
1579,1,1
1580,0,1
1581,1,2
1582,2,3
1583,2,2
1584,2,2
1585,2,2
1586,1,2
1587,1,1
1588,1,2
1589,2,2
1590,2,2
1591,1,1
1592,2,2
1593,1,2
1594,2,3
1595,2,2
1596,2,3
1597,1,2
1598,1,2
1599,3,3
1600,2,2
1601,1,2
1602,1,2
1603,1,2
1604,2,3
1605,1,2
1606,1,2
1607,0,1
1608,0,1
1609,1,1
1610,1,2
1611,2,2
1612,1,2
1613,3,3
1614,2,2
1615,2,3
1616,2,3
1617,2,2
1618,2,2
1619,2,2
1620,2,3
1621,2,2
1622,3,3
1623,2,3
1624,0,1
1625,2,2
1626,2,3
1627,2,2
1628,0,1
1629,3,3
1630,1,2
1631,0,1
1632,2,2
1633,1,2
1634,2,2
1635,1,1
1636,0,1
1637,1,2
1638,2,3
1639,2,2
1640,1,1
1641,2,2
1642,1,1
1643,1,1
1644,1,2
1645,1,2
1646,2,2
1647,2,3
1648,1,2
1649,2,2
1650,1,2
1651,1,2
1652,1,2
1653,2,2
1654,1,2
1655,1,2
1656,1,1
1657,2,2
1658,2,2
1659,1,2
1660,3,3
1661,1,2
1662,2,2
1663,1,2
1664,1,1
1665,2,2
1666,3,3
1667,2,2
1668,0,1
1669,0,1
1670,2,3
1671,0,0
1672,2,3
1673,0,1
1674,1,1
1675,2,2
1676,1,2
1677,3,3
1678,2,3
1679,1,2
1680,1,2
1681,0,1
1682,1,2
1683,3,3
1684,0,1
1685,3,3
1686,1,2
1687,2,2
1688,1,2
1689,1,1
1690,0,0
1691,1,1
1692,2,3
1693,1,2
1694,1,2
1695,1,1
1696,1,2
1697,1,1
1698,2,2
1699,1,2
1700,2,3
1701,3,3
1702,1,2
1703,4,4
1704,1,1
1705,1,1
1706,2,3
1707,1,1
1708,1,2
1709,2,3
1710,1,2
1711,2,3
1712,1,2
1713,3,4
1714,1,2
1715,1,2
1716,2,3
1717,1,2
1718,3,3
1719,3,3
1720,3,3
1721,0,1
1722,1,2
1723,1,2
1724,1,1
1725,2,3
1726,2,2
1727,1,2
1728,0,1
1729,1,1
1730,1,1
1731,1,2
1732,0,1
1733,1,1
1734,1,2
1735,2,2
1736,2,3
1737,2,2
1738,3,3
1739,1,1
1740,2,2
1741,0,1
1742,2,2
1743,1,2
1744,2,3
1745,1,2
1746,1,2
1747,2,2
1748,1,2
1749,2,2
1750,1,2
1751,3,3
1752,1,2
1753,1,1
1754,3,3
1755,1,2
1756,1,2
1757,3,3
1758,0,1
1759,1,1
1760,1,2
1761,1,2
1762,1,2
1763,0,0
1764,2,2
1765,3,3
1766,3,3
1767,0,1
1768,2,2
1769,0,0
1770,2,3
1771,1,2
1772,2,3
1773,0,1
1774,0,1
1775,1,2
1776,4,4
1777,0,1
1778,2,2
1779,1,1
1780,1,1
1781,1,1
1782,0,1
1783,1,2
1784,1,2
1785,0,1
1786,0,1
1787,3,3
1788,1,2
1789,3,3
1790,1,2
1791,3,3
1792,1,2
1793,2,2
1794,2,2
1795,1,2
1796,1,1
1797,3,3
1798,2,2
1799,2,2
1800,1,2
1801,1,2
1802,1,1
1803,2,2
1804,1,1
1805,1,2
1806,0,1
1807,1,2
1808,0,1
1809,1,2
1810,1,1
1811,1,1
1812,2,3
1813,2,3
1814,2,2
1815,3,3
1816,2,2
1817,2,2
1818,1,2
1819,1,2
1820,1,1
1821,3,3
1822,2,3
1823,2,2
1824,2,2
1825,1,2
1826,2,2
1827,2,2
1828,2,2
1829,3,3
1830,3,3
1831,1,2
1832,1,2
1833,3,3
1834,0,0
1835,1,2
1836,3,3
1837,1,2
1838,1,2
1839,2,3
1840,2,2
1841,1,1
1842,2,3
1843,2,2
1844,1,1
1845,4,4
1846,2,2
1847,0,1
1848,2,2
1849,1,1
1850,1,2
1851,2,3
1852,1,1
1853,3,3
1854,1,2
1855,2,3
1856,0,1
1857,2,3
1858,2,2
1859,2,3
1860,0,1
1861,1,1
1862,2,2
1863,1,2
1864,1,1
1865,3,3
1866,2,3
1867,2,2
1868,2,2
1869,1,1
1870,1,1
1871,1,1
1872,0,0
1873,3,3
1874,0,1
1875,0,1
1876,0,1
1877,1,2
1878,1,2
1879,3,3
1880,1,1
1881,2,2
1882,2,2
1883,1,1
